,enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,company_type,training_hours,Experience,Company_Size,Last_new_job
0,32403,city_41,0.8270000000000001,Male,Has relevent experience,Full time course,Graduate,STEM,,21,9,8.0,1
1,9858,city_103,0.92,Female,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,98,5,,1
2,31806,city_21,0.624,Male,No relevent experience,No enrollment,High School,,Pvt Ltd,15,0,,0
3,27385,city_13,0.8270000000000001,Male,Has relevent experience,No enrollment,Masters,STEM,Pvt Ltd,39,11,30.0,1
4,27724,city_103,0.92,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,72,21,10500.0,5
5,217,city_23,0.899,Male,No relevent experience,Part time course,Masters,STEM,,12,10,,2
6,21465,city_21,0.624,,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,11,0,250.0,1
7,27302,city_160,0.92,Female,Has relevent experience,No enrollment,Graduate,STEM,,81,21,,5
8,12994,city_173,0.878,Male,Has relevent experience,No enrollment,Graduate,STEM,,2,14,,4
9,16287,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,,Funded Startup,4,3,75.0,1
10,10856,city_103,0.92,Male,Has relevent experience,No enrollment,Masters,Other,,196,21,,5
11,9272,city_90,0.698,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,51,20,30.0,2
12,14249,city_46,0.762,Male,Has relevent experience,No enrollment,Graduate,STEM,Other,48,8,250.0,0
13,24372,city_98,0.949,,Has relevent experience,No enrollment,Masters,STEM,Pvt Ltd,134,4,250.0,1
14,14070,city_103,0.92,,No relevent experience,No enrollment,Graduate,STEM,,10,5,,0
15,24914,city_21,0.624,,Has relevent experience,Full time course,Graduate,STEM,Pvt Ltd,125,13,2500.0,1
16,7865,city_21,0.624,Male,Has relevent experience,No enrollment,Masters,STEM,Pvt Ltd,4,4,250.0,1
17,7463,city_13,0.8270000000000001,Male,Has relevent experience,No enrollment,Masters,Business Degree,Pvt Ltd,31,2,75.0,1
18,21514,city_21,0.624,,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,23,6,,4
19,29033,city_21,0.624,Male,No relevent experience,Full time course,,,,110,2,,0
20,15359,city_103,0.92,,No relevent experience,Full time course,Graduate,STEM,,74,2,,0
21,16001,city_103,0.92,,Has relevent experience,No enrollment,Graduate,STEM,,44,7,10500.0,1
22,25202,city_21,0.624,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,33,6,2500.0,3
23,5058,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,,81,1,,1
24,23570,city_118,0.722,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,19,19,250.0,5
25,19139,city_103,0.92,Female,Has relevent experience,Part time course,Graduate,STEM,Public Sector,48,15,,5
26,9548,city_114,0.926,Male,Has relevent experience,No enrollment,Masters,STEM,Pvt Ltd,65,21,75.0,5
27,8799,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,Public Sector,46,6,,1
28,11113,city_134,0.698,,Has relevent experience,No enrollment,Masters,STEM,Pvt Ltd,78,16,,1
29,19437,city_21,0.624,,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,105,3,30.0,
30,394,city_73,0.754,,Has relevent experience,Full time course,Graduate,STEM,Pvt Ltd,29,5,75.0,1
31,7683,city_103,0.92,Male,Has relevent experience,No enrollment,Graduate,STEM,,10,5,,1
32,22849,city_116,0.743,,Has relevent experience,No enrollment,,,Pvt Ltd,12,,75.0,0
33,17189,city_21,0.624,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,43,7,10500.0,4
34,28610,city_16,0.91,Male,Has relevent experience,No enrollment,Masters,STEM,Pvt Ltd,18,21,75.0,5
35,25608,city_165,0.903,,Has relevent experience,No enrollment,Masters,STEM,Pvt Ltd,8,17,75.0,5
36,22139,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,Pvt Ltd,8,21,250.0,5
37,19644,city_61,0.913,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,145,21,10500.0,5
38,18517,city_21,0.624,,No relevent experience,Full time course,Masters,STEM,Pvt Ltd,22,0,30.0,1
39,12835,city_136,0.897,Male,Has relevent experience,No enrollment,Masters,STEM,Early Stage Startup,9,21,8.0,1
40,20178,city_45,0.89,Male,Has relevent experience,No enrollment,Masters,STEM,Public Sector,20,13,,1
41,25855,city_103,0.92,Female,Has relevent experience,No enrollment,Graduate,Arts,Pvt Ltd,20,4,75.0,1
42,32126,city_160,0.92,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,130,16,250.0,4
43,22753,city_104,0.924,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,3,21,75.0,2
44,18133,city_103,0.92,Male,No relevent experience,No enrollment,Graduate,STEM,,23,1,,1
45,29242,city_21,0.624,Male,Has relevent experience,No enrollment,Masters,STEM,Pvt Ltd,49,5,250.0,1
46,6312,city_160,0.92,Male,Has relevent experience,No enrollment,Graduate,STEM,,270,21,,1
47,113,city_16,0.91,Male,Has relevent experience,No enrollment,Masters,STEM,Pvt Ltd,23,6,2500.0,1
48,14685,city_114,0.926,Male,No relevent experience,Full time course,Masters,STEM,Pvt Ltd,35,3,30.0,1
49,20768,city_90,0.698,Male,No relevent experience,Full time course,High School,,,87,2,,0
50,25906,city_28,0.939,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,37,19,75.0,1
51,20142,city_104,0.924,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,158,10,75.0,1
52,25891,city_103,0.92,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,8,21,10500.0,5
53,4742,city_149,0.6890000000000001,,No relevent experience,No enrollment,,,,114,2,,
54,2222,city_105,0.794,Male,Has relevent experience,No enrollment,Graduate,Business Degree,Pvt Ltd,15,14,250.0,1
55,16917,city_103,0.92,,No relevent experience,Full time course,High School,,,48,1,,1
56,10493,city_21,0.624,,Has relevent experience,No enrollment,Masters,STEM,Pvt Ltd,40,8,2500.0,2
57,10418,city_76,0.698,Male,Has relevent experience,No enrollment,,,Pvt Ltd,91,7,250.0,5
58,9766,city_83,0.923,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,14,5,2500.0,2
